gender,age,credit amount,repayment duration
-0.22421664,0.19324914,0.17579249,-0.44422323
-0.3066352,-0.005245366,-1.0456742,-0.21095936
-0.13868529,0.035813954,0.0052069263,-0.31824094
0.35948104,0.23995344,1.1849244,-0.07784377
-0.23193964,0.1119366,-0.17631775,-0.2838968
-0.09437108,0.34066853,0.38865593,-0.711391
-0.24132626,0.17613594,-0.36991367,-0.15471025
-0.13851976,0.0105231535,0.08494535,-0.40424812
-0.13780807,0.40048242,-1.0343347,-0.23198453
-0.18108837,0.46001717,0.49378806,-0.8186485
0.0014394724,0.20713793,-0.2091156,-0.33013618
-0.20897368,0.08410658,0.35111073,-0.6790863
0.13463965,-0.5276272,-0.5430595,0.76970965
-0.10381873,0.02320256,0.7164142,0.25637957
-0.32437977,-0.26654145,-0.9590376,-0.29153955
-0.033639394,0.21077973,0.2664405,-0.70487845
-0.014608579,0.49111152,0.64047456,-0.94988775
-0.26534358,0.11907653,-0.31076545,-0.2590318
-0.017875897,-0.65502787,-0.22565001,0.64348173
0.25460428,-0.4186652,-0.74753153,0.84485656
-0.2708807,0.08884182,0.34808543,-0.5917494
-0.20493366,0.48837867,-0.017178992,-0.54445463
-0.29537237,0.41763583,0.21351649,-0.6112281
-0.1694619,0.24933128,0.14034995,-0.47768697
0.17358795,0.036647376,0.09871725,0.24446882
0.1850375,0.020142104,-0.39585555,-0.4394587
-0.2501601,0.32607064,-0.22483245,-0.32108182
-0.24719183,-0.32664806,-0.6567647,-0.3697675
0.03556985,0.40285465,-0.14946267,-0.24821915
0.21123639,-0.31671655,-0.6657673,0.8664332
0.020164294,-0.5359626,-0.48194087,0.76830816
-0.32221162,0.44241908,0.4569442,-0.7376211
-0.10809902,0.691033,0.33228102,-0.5105188
-0.15837465,0.26178548,0.56099176,-0.83739996
-0.37649146,0.26445276,-0.004666433,-0.6695886
0.22123536,-0.32523796,-0.29794765,0.588414
0.19160838,-0.4920793,-0.637709,0.80498505
-0.244823,-0.12796776,-0.16011408,-0.4451061
0.19487488,0.16858198,0.2196719,0.34857664
0.11208453,0.00424145,-0.7211924,-0.8700676
0.29488975,-0.3184833,-0.32910237,0.5503613
-0.33872014,0.372249,0.43053177,-0.64006925
0.04234953,0.787311,0.30183175,-0.47326267
-0.062074147,-0.28337634,0.55597067,0.69417334
-0.17394346,0.43710637,0.4305883,-0.71884763
-0.2315272,0.041553143,-0.50537825,-0.053358432
-0.0041563027,0.62454563,0.4955255,-0.7493504
-0.3119071,0.29499045,0.39966077,-0.619548
0.10822547,0.24417093,-0.13031192,-0.4640399
0.072187044,0.7771656,0.29426855,-0.5004799
-0.30513352,-0.09443848,-0.3036565,-0.7925802
-0.20007849,0.12761462,0.15429264,-0.3895735
0.04850921,0.38353166,0.53162843,-0.8548387
0.23948236,-0.5396248,-0.5640609,0.7966622
-0.12229753,0.17687611,-0.61847925,-0.19172347
-0.06553465,0.56784904,0.28165233,-0.5333502
0.08296889,0.030892212,0.1475002,-0.84030145
0.35559577,-0.51177454,-0.62514037,0.7758692
0.32571083,-0.07121141,-0.34116605,0.8421037
0.088360585,-0.007265265,-0.24319302,-0.4616942
-0.262552,0.12479524,0.14584622,-0.5169978
-0.025551595,0.07100855,-0.19554502,-0.33521423
0.3000142,-0.19168682,-0.41166705,0.62444353
0.322361,-0.47706664,-0.58509314,0.774119
-0.051708676,0.6111782,0.58098215,-0.80860466
-0.33248836,0.25532258,0.5017023,-0.68679667
0.21576607,-0.5178883,-0.6141756,0.8479675
0.29371902,0.062047314,0.04046466,0.6212342
0.31957683,-0.3207486,-0.4308209,0.6432163
-0.10216089,0.35980076,0.35478616,-0.65903723
-0.26574188,0.35965988,0.5426933,-0.7069872
0.2626727,-0.13378136,-0.27542728,0.52023864
-0.12514108,-0.7242554,-0.5560127,0.7794483
0.10631692,0.105060555,-0.5241459,-0.22478355
0.020409966,0.12152692,0.086550064,-0.5932574
0.29300484,0.10679232,0.42895412,0.22513002
-0.20002149,-0.14985716,-0.41085392,-0.06478191
0.3620228,-0.29476455,0.70463127,0.19510812
-0.037180945,0.30493203,0.5601052,-0.91326964
0.3189705,-0.16119194,-0.46628293,0.6933059
0.39155948,-0.41493535,-0.64769,0.8128659
-0.306126,0.45623586,0.4629136,-0.697078
-0.3528307,0.08696246,0.5230746,-0.82727003
-0.21769308,0.13193958,0.27942237,-0.51817805
-0.223544,0.05775212,0.26518747,-0.51020616
-2.3312195e-05,0.74861723,0.38626558,-0.52146536
-0.39032897,0.3791967,0.5727131,-0.7477109
-0.30092126,0.33682835,0.35407525,-0.5841189
0.096796885,0.16186708,0.073543474,0.5588644
-0.3813702,0.44782504,0.62258124,-0.774435
-0.18551806,0.26432878,0.08853856,-0.4670714
-0.042850595,-0.04437549,-0.03312625,0.5957236
0.2155513,-0.18547915,-0.24499191,0.46349353
-0.20797701,-0.08251993,-0.12511255,-0.28969342
-0.067626946,0.3582182,0.43203172,-0.7779446
0.197742,-0.16838726,-0.4872081,0.9409196
-0.3588612,0.33426568,0.5300411,-0.7129997
-0.21138296,0.31330624,0.481043,-0.74634004
0.035119027,0.76286894,0.3581603,-0.53264755
-0.07398085,0.061506107,0.17499238,0.6122041
0.39881888,-0.03542069,1.1788282,-0.17185284
-0.047368985,0.5418573,0.6263088,-0.8515273
-0.27578223,0.20281157,0.3018282,-0.6098204
-0.1049116,0.15740792,0.03149016,-0.45672008
0.29807508,-0.39958113,-0.5129342,0.74768645
0.15385596,0.42970806,0.27090198,-0.7262053
-0.07429852,0.58286303,0.4564906,-0.7756136
-0.26330066,0.4802593,0.6001646,-0.8182648
0.13404508,-0.65218997,-0.4467065,0.6223343
-0.29956996,0.356721,0.53511643,-0.7306687
-0.2106194,0.46556312,0.53627527,-0.7747712
-0.26504123,0.4151553,0.5358641,-0.72953904
0.25273478,-0.1630301,-0.22349608,0.4844859
0.28771043,-0.23675078,-0.5515425,0.7856399
0.08945278,0.48035198,0.24096188,-0.4946973
-0.07818671,0.67610276,0.43672493,-0.60466105
0.3000203,-0.23214422,-0.62864894,0.8236112
-0.19964847,0.31954372,0.4952794,-0.937917
0.05373416,-0.65886533,-0.24091743,0.4996941
-0.063085616,-0.038347166,-0.05018803,-0.4844141
0.02754477,-0.6354309,-0.523284,0.7492346
-0.22844364,0.13954654,0.22057804,-0.5086567
-0.023194669,-0.6166935,-0.39904445,0.72420317
-0.42148072,0.4552787,0.6445425,-0.8122023
0.33423093,-0.08564298,-0.5578974,0.76660866
-0.2907009,0.35750037,0.33174285,-0.5660571
-0.23110981,-0.3822655,-0.25501257,1.2371049
0.113294065,0.7198723,0.4472675,-0.70511824
-0.1079933,-0.07294859,-0.037802238,-0.3815558
-0.16029187,-0.04956918,0.18408695,-0.62900853
-0.19238335,0.0024187702,0.24447747,-0.5389303
0.12526667,-0.41674668,-0.109121725,0.52233696
-0.16270514,0.50084245,0.5185609,-0.7612603
-0.08178763,-0.12393507,1.046395,0.12482456
-0.24357201,0.39009964,0.2865283,-0.5609246
-0.14330463,0.06697626,-0.35398048,-0.20031792
-0.08154826,0.097564965,0.048322797,-0.44517195
0.05594518,0.5333243,0.46273708,-0.76748705
-0.0011532669,-0.6685066,-0.37327853,0.5864912
0.099910915,0.15910788,0.44581464,0.16115972
0.33611286,-0.32354748,0.70441306,0.36651856
-0.29671693,0.4096692,0.67416567,-0.7934365
0.3478034,-0.28480443,0.8759258,0.11505709
0.054483414,0.505297,0.073138215,-0.49391216
-0.26675972,0.14869344,-0.6286288,-0.030395636
0.033898436,0.23520014,0.26393297,-0.70013887
-0.0977217,-0.12412854,-0.4773456,-0.23402004
0.11536833,-0.3716416,0.40491912,0.6185959
-0.38238895,0.44465533,0.70765954,-0.8278037
-0.2159774,-0.11362288,-0.4953846,-0.022165425
0.18827343,0.1736228,0.07756636,-0.51591486
