asia,tub,smoke,lung,bronc,either,xray
-0.04155381,0.06493041,0.0052298903,0.26656258,0.2803852,0.17115062,0.15854879
-0.03579359,0.1047802,0.03688994,0.26790228,0.31876546,0.13751636,0.098996155
-0.02675827,0.122567594,-0.019931287,0.18809219,0.29090434,0.092552915,0.21800983
0.04138853,-0.069822505,0.021211885,-0.05944841,-0.04054446,-0.060621597,-0.018758819
0.019833816,-0.082389385,-0.006699927,-0.14363146,-0.13125363,-0.15794286,-0.042490505
-0.047943465,0.077956915,-0.0012690574,0.16052021,0.30507314,0.13549867,0.24343356
-0.0884564,0.10584064,0.032416396,0.087567896,0.048609577,0.11119327,0.042628177
0.012984901,-0.04074511,-0.012656286,-0.003994869,-0.02105163,-0.058326505,-0.004751509
-0.05875727,0.13961399,0.013164647,0.15876663,0.15187186,0.104959026,0.08347247
-0.017377285,0.060109288,-0.036602095,0.27319878,0.31834072,0.1341674,0.1805116
0.04165107,-0.02931618,-0.029998308,-0.07949003,-0.0053436905,-0.08905551,-0.038600992
-0.015981605,0.11417192,0.054276884,0.18967211,0.21283047,0.14928855,0.10291465
0.03726658,0.16203317,0.0316751,0.12563473,0.13013905,0.19007212,0.09807418
0.07149923,-0.040882543,-0.002126284,-0.1262379,-0.09167093,-0.1534374,-0.06086713
0.00074136816,0.08190858,-0.022727385,0.23599887,0.30057248,0.15873787,0.17646298
0.0074711493,0.06690496,0.034552604,0.24610224,0.2559154,0.091413975,0.15180053
0.021959139,-0.028938338,-0.01110894,-0.003615003,-0.018419147,-0.0075336304,-0.005261275
0.06553133,-0.08518413,-0.06744906,-0.04906812,0.0030454956,-0.09089321,-0.026322179
-0.043046873,0.21147549,0.085292995,0.17510866,0.09918843,0.12616163,0.09465214
0.02469161,-0.06960216,-0.010010868,-0.11574844,-0.12177141,-0.18728259,-0.038100243
0.0058837356,0.17583108,0.082269534,0.09371028,0.08524132,0.18901348,0.02906102
-0.037981413,0.06756589,0.013784811,0.3126287,0.28594846,0.09695478,0.150626
-0.022235546,0.16431022,0.05072055,0.2077625,0.27116668,0.17719184,0.086281635
0.04798885,-0.028251477,-0.0009796619,-0.109822795,-0.028647024,-0.08170139,-0.040741663
0.07984631,-0.1257692,-0.1272032,-0.081640005,-0.018653564,-0.116598174,-0.027807541
0.004417325,0.10921672,-0.020748675,0.21219046,0.18173297,0.2562803,0.08006188
-0.0024349303,-0.09533681,-0.013318494,-0.0904036,-0.05856204,-0.16312586,-0.016500734
-0.014516214,0.082642436,0.01659058,0.16855627,0.27530175,0.17650141,0.15227693
0.034041274,-0.046284646,-0.03314017,-0.063168846,-0.017509863,-0.112669274,-0.024040196
-0.020157274,0.08581635,-0.0020742118,0.25734964,0.2829563,0.1896198,0.1252172
-0.02803303,0.14518747,0.07408656,0.13880818,0.091218695,0.11447423,0.039459385
-0.0052325185,0.14167845,0.0161127,0.1818619,0.20225668,0.1632927,0.10854006
0.00017288572,0.11085257,0.08875724,0.13969839,0.1596068,0.17136851,0.094828576
-0.031139074,0.10108805,0.02051735,0.11806573,0.11827078,0.24151373,0.05737129
0.056243,-0.050312296,-0.016985137,-0.0690497,-0.046602618,-0.1520306,-0.035154592
0.013563066,-0.0144674145,-0.009311498,-0.009045476,-0.00201267,-0.022029214,-0.016009964
0.0012077861,0.08836612,-0.025915235,0.2740432,0.27703345,0.09374446,0.18722737
0.0063268617,0.0824807,0.023539491,0.25051567,0.2016796,0.20511064,0.08940091
-0.03280304,0.032242358,0.010163955,0.23157123,0.26762968,0.18335165,0.13601515
0.048354484,-0.027207576,-0.040558077,-0.054763563,-0.010989603,-0.11625957,-0.050313383
-0.0015521722,0.07589446,0.018617645,0.16759598,0.113807246,0.1489886,0.054066874
0.086494386,-0.09591505,-0.0027630702,-0.15040754,-0.10442823,-0.107108645,-0.09872446
0.047678653,-0.006378129,-0.0027036555,-0.07397242,-0.037698522,-0.13646758,-0.03697054
-0.029461969,0.07504246,-0.015526742,0.32071042,0.29703033,0.086750254,0.18672156
-0.019236036,0.059067354,0.000754226,0.084821306,0.033605285,0.10646728,0.027448501
0.026238639,-0.17684391,-0.073998995,-0.14399424,-0.10512599,-0.13221747,-0.060574226
-0.023097685,0.057940513,0.039241046,0.23518325,0.2711227,0.17435455,0.16680646
0.010194961,0.04494883,0.007328838,0.05186081,0.013667721,0.15733469,0.020667229
0.013805727,-0.05113014,-0.0054978356,-0.08717503,-0.018716227,-0.098617874,-0.013394337
-0.07692269,0.07714784,0.015133284,0.15859847,0.12322259,0.13762219,0.08804298
0.0366198,-0.0469473,-0.003169138,-0.05649053,-0.0122821,-0.11060734,-0.035740655
0.029368952,-0.036037818,-0.009417038,-0.15136774,-0.12371786,-0.09628298,-0.1024903
-0.011205858,0.100004226,-0.0033830702,0.19435659,0.2146388,0.15521376,0.20467496
0.01662953,0.110470116,0.07471955,0.16717522,0.11918869,0.21254194,0.018867157
0.02444175,-0.05706373,-0.032404866,-0.07263113,-0.03552775,-0.14100957,-0.032001767
0.0052989204,0.08741909,-0.012446269,0.1841721,0.14371435,0.19602117,0.09990068
-0.033224534,0.23468155,0.051190004,0.2569636,0.1816492,0.10166892,0.10460894
-0.030764025,0.044253632,0.018333659,0.043045964,0.022804104,0.12364401,0.017130237
0.12767449,-0.10735145,-0.10137668,-0.07507799,-0.012138717,-0.07572667,-0.054378543
0.031172436,-0.08630106,-0.013751462,-0.0651839,-0.066305734,-0.087245286,-0.01993306
0.008547725,-0.09179181,0.015869424,-0.25711137,-0.25463957,-0.23756711,-0.072514325
-0.050895505,0.18857753,0.067508586,0.1507051,0.09020135,0.14157006,0.02073948
-0.039843794,0.00275857,0.0023194458,0.09366345,0.011223385,0.08341576,0.034492936
0.039964322,-0.046344794,0.0024546646,-0.072793424,-0.012734145,-0.09203184,-0.04192344
-0.03803457,0.04232189,0.010150377,0.079387784,0.03694531,0.09851053,0.05001413
0.09140362,-0.03983982,-0.005816158,-0.11089216,-0.059826378,-0.12878066,-0.048579972
-0.04273108,0.004716739,0.003546983,0.066380374,0.025942083,0.09856122,0.0073193368
0.028183116,0.14591226,0.022608228,0.19211814,0.12954436,0.19335806,0.094826005
0.06854951,-0.03310129,-0.011289038,-0.10446239,-0.028428888,-0.07659364,-0.044968177
-0.025864925,0.15164635,0.057301335,0.20686951,0.21846044,0.16480973,0.10408833
0.09024273,-0.07959598,-0.027334183,-0.112727754,-0.025032122,-0.083943665,-0.03825252
-0.019489745,-0.068760596,0.0026889518,-0.07154958,-0.03804277,-0.1205453,-0.0099438615
-0.03792764,0.05815935,-0.001917839,0.24553224,0.35154238,0.11442304,0.15907311
0.007139754,0.034861416,-0.01310949,0.223817,0.24180353,0.16270241,0.20843291
0.015907735,0.041847944,-0.00065076724,0.07869409,0.028443139,0.15343268,0.031636864
0.05800023,-0.04219763,-0.0050848424,-0.1076641,-0.074396536,-0.16736299,-0.04608319
